#起始日期：2017-06-01 00:00:00  终止日期：2017-06-12 23:59:59												
#交易金额合计：11197笔，共4110546.80元												
#下载时间：2017-06-18 20:58:23												
												
交易时间	微信支付单号	商户订单号	商户号	特约商户号	设备号	appid	下单用户	交易场景	交易状态	支付成功时间	交易金额(元)	现金券抵扣金额(元) 
2017/6/1 6:02	"4002252001201706013615677434	"	"GH201706010602101246960563	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wZY61POmOy3f2fLOVQaRGDw	公众号支付	买家已支付	2017/6/1 6:02	3.5	0
2017/6/1 6:02	"4005382001201706013611759486	"	"GH201706010602111150812685	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wUmo3FSyrESvQIQtzBCsyZI	公众号支付	买家已支付	2017/6/1 6:02	5.5	0
2017/6/1 6:03	"4005412001201706013611785626	"	"GH201706010602081940546481	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wS79HzjRLU6nSmC87OoAPiE	公众号支付	买家已支付	2017/6/1 6:03	5.5	0
2017/6/1 6:03	"4001822001201706013613741260	"	"GH20170601060218650531201	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wac3n52k2NdPG39GGPtMeoA	公众号支付	买家已支付	2017/6/1 6:03	5.5	0
2017/6/1 6:03	"4000752001201706013613717562	"	"GH20170601060000222762625	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wXxaWwRnrEi1mRUGk5cWX_E	公众号支付	买家已支付	2017/6/1 6:03	7.5	0
2017/6/1 6:03	"4009112001201706013616550858	"	"GH2017060106021398763943	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wWSZeohouLATw-ex60WF3-I	公众号支付	买家已支付	2017/6/1 6:03	7.5	0
2017/6/1 6:03	"4005562001201706013616559839	"	"GH20170601060230193803993	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wQjbNF0uWIBzsvV5YzL7SBY	公众号支付	买家已支付	2017/6/1 6:03	3.5	0
2017/6/1 6:03	"4000212001201706013615634231	"	"GH201706010602311893767871	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wZ01dESUEMDO553hEaWRr6c	公众号支付	买家已支付	2017/6/1 6:03	5.5	0.43
2017/6/1 6:03	"4005472001201706013613770044	"	"GH201706010602291053388866	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wZzfJ2LbAAwDGbrYpAQ0_-s	公众号支付	买家已支付	2017/6/1 6:03	7.5	0
2017/6/1 6:03	"4005852001201706013613711786	"	"GH201706010602311774280263	"	"1293495701	"	"	"		wx9b804d3e447446dc	oW5L1wYVzHFfJbFMk7I1kujqKjkk	公众号支付	买家已支付	2017/6/1 6:03	7.5	0
